Membership Type,Number,Organization Name,Address,State
ACTIVE MEMBERS,43,Yara Fertilisers India Private Limited,"502, Global Business Square, Plot No.32, Sector-44, Gurgaon 122 002, Haryana",Haryana
ACTIVE MEMBERS,44,Zuari Agro Chemicals Limited,"Jaikisaan Bhawan, Zuarinagar",
ACTIVE MEMBERS,403,726,Goa,Goa
ASSOCIATE MEMBERS,1,3S Minerals Processors Private Limited 8 Agrifields International Limited,"22-B-15, Haldighati Marg, Opposite NRI A14/3, 234/3A, FMC Fortuna Building, Colony, Pratap Nagar A.J.C. Road, Bose Road, Jaipur 302 029 Kolkata 700 020, Rajasthan West Bengal",Rajasthan
ASSOCIATE MEMBERS,2,a c t infraport Limited 9 AgriMin Control International Private Limited,"Plot No. 391 & 392, Sector 1/A 602, Embassy Chambers, 6th Floor, Near Mamlatdar's Office, Gandhidham Plot No. 5, 3rd Road, Khar (West), Kachchh 370 201 Mumbai 400 052, Gujarat Maharashtra",Gujarat
ASSOCIATE MEMBERS,3,Aarti Fertilizers 10 Agro Phos (India) Limited,"(A Division of Aarti Industries), M-87, Trade Centre, Plot No. 801, 801/23, GIDC Estate, Phase III, District 18, Southtuko Ganj, Valsad Indore 452 001, Vapi 396 195 Madhya Pradesh, Gujarat",Madhya Pradesh
ASSOCIATE MEMBERS,4,Abdullah Haji Rahimtula & Sons Private Limited 11 Agro Service Center,"DCM Building, 3rd Floor 401-Man Heritage, Flat No.-3E, 16, Barakhamba Road 6/2 South Tugogunj, New Delhi - 110 001 Indore 452 001, Madhya Pradesh",Madhya Pradesh
ASSOCIATE MEMBERS,5,ACME Cleantech Solutions Private Limited 12 Agrocel Industries Private Limited,"Plot No. 152, Sector - 44, B-701, 702, 7th Floor, Flexcel Park, Gurugram 122 002 184-87, S.V. Road, Jageshwari West, Haryana Mumbai 400 102, Maharashtra",Haryana
ASSOCIATE MEMBERS,6,Adani Ports and Special Economic Zone Limited 13 Alligo Horizon Private Limited,"Adani Corporate House, Plot No.83, 402 B 4th Floor, Shanta Madhav Sankul, Institutional Area, Sector - 32, Above SBI Bank Near MICo Circle Tidke, Gurgaon 122 001 Nashik 422 206, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,7,Advance Fertilizers India Private Limited 14 Ameropa India Private Limited,"Plot No. D-2-CH-64 & 67, Dahej - II Unit 16, Level 12, Two Horizon Centre, Industrial Estate, R.S. No. 180P and 181P Golf Course Road, Dahej GIDC, Dahej SIR Gurugram 122 002, Bharuch 392 130 Haryana, Gujarat",Haryana
