Membership Type,Number,Organization Name,Address,State
ASSOCIATE MEMBERS,115,Mahamaya Enterprise 122 Meghmani Crop Nutrition Limited,"12/A, Netaji Subhash Road, Meghmani House, Ground Floor, Room No. 6, B/h. Safal Profitaire, Corporate Road, Prahladnagar, Kolkata 700 001 Ahmedabad 380 015, West Bengal Gujarat",West Bengal
ASSOCIATE MEMBERS,116,Mamde Krishi Seva Kendra 123 Mexican Agro Chemical Limited,"New Mondh 128-A, Kalindi Kunj, Pipliyahana, Nanded 431 602 Indore 452 001, Maharashtra Madhya Pradesh",Maharashtra
ASSOCIATE MEMBERS,117,Manshya Marketing Private Limited 124 Midgulf Services India Private Limited,"S.No. 49, Part Rajkumar Lodha Industrial Estate, 12th Floor, Pinnacle Mall, Plot No.3, Vrindavan Nagar Lane No.3, Near Shatrunjay Mandir, Sector - 10, District Center Dwarka, Gokul Nagar, Katraj, Kondhwa Road, Kondhwa BDK, New Delhi - 110 075, Pune 411 048, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,118,Maru Chem Industries 125 Mitra S.K. Private Limited,"Plot No. C-1-B.2419, 3rd Floor Shrachi Centre (5th Floor), Near Bank of Baroda, GIDC, Vapi 74B, AJC Bose Road, Distt. Valsad 396 195 Kolkata 700 016, Gujarat West Bengal",Gujarat
ASSOCIATE MEMBERS,119,Marubeni India Private Limited 126 MN Crop & Fertico Private Limited,"Unit No. 01, 3rd Floor, Building A-2, 38/1, LP-60/3/1, Kshetra Mohan Mitra Lane, Shaheed Jeet Singh Marg, Howrah 711 106, Qutab Institutional Area, West Bengal, New Delhi - 110 067",West Bengal
ASSOCIATE MEMBERS,127,Mosaic India Private Limited 134 Nature Organics,"11th Floor, Building 8C, Plot No. E-28, MIDC, Kupwad, DLF Cyber City, Phase II, Tal :- Miraj, Gurgaon 122 002 Distt. Sangli 416 416, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,128,MS Agrotech 135 Neelam Aqua & Speciality Chem Private Limited,"No. 19, Bylakonenahalli Circle, Andrahalli Main Road, H-337 (D), Road No.17, Near Satya Sai School, Laxmipura Post V.K.I. Area, Dasanapura Hobli Jaipur 302 013, Bangalore 562 162 Rajasthan, Karnataka",Rajasthan
ASSOCIATE MEMBERS,129,Multiplex Bio-Tech Private Limited 136 New Ar Vee Agro Chemical,"No.180, 1st Main Road, TBA - 6, New Sabzi Mandi, Maqsudan, Mahalakshmi Layout, Jalandhar 144 008, Bengaluru 560 086 Punjab, Karnataka",Punjab
ASSOCIATE MEMBERS,130,N G Fertilizers and Chemicals Private Limited 137 New Mysore Agricultural Fertilisers Private Limited,"224/2, 3, NH-5, Kodurupadu Village, #HIG 28, HUDCO 1st Stage, Krishna 521 110 Lakshmikantha Nagar, Andhra Pradesh Mysuru 570 017, Karnataka",Andhra Pradesh
ASSOCIATE MEMBERS,131,Naq Global Private Limited 138 Nextnode Bioscience Private Limited,"Plot No 36,37, Fifth Floor, SDC Vinay 1, 607, Abhishree Avenue, Moji Colony, Calgary Marg, Malviya Nagar, Opp. Hanumanji Temple, Nehrunagar, Ambawadi, Jaipur 302 017 Ahmedabad 380 015, Rajasthan Gujarat",Rajasthan
ASSOCIATE MEMBERS,132,Narmada Phosphate Limited 139 Nico Orgo Manures,"A-33, Priyadarshini Nagar, Opposite Railway Station, (Just beside the street of Quality Restaurent), Vyapar Dakor 388 225, Vihar Road, Gujarat, Bilaspur 495 001, Chattisgarh",Gujarat
ASSOCIATE MEMBERS,133,National Cooperative Development Corporation 140 Nirma Limited,"4, Siri Institutional Area Nirma House, Opposite Siri Fort, Hauz Khas Ashram Road, Near I.T.O., New Delhi - 110 016 Ahmedabad 380 009, Gujarat",Gujarat
ASSOCIATE MEMBERS,141,Novozymes South Asia Private Limited 148 Peptech Biosciences Limited,"Plot No. 32, 47-50, EPIP Area G-1-636, Chopanki Industrial Area, Whitefield Bhiwadi, Bangalore 560 066 Alwar 301 019, Karnataka Rajasthan",Karnataka
ASSOCIATE MEMBERS,142,Nuberg Engineering Limited 149 Phoenix International,"Nuberg House 1st Floor, Flat-2, Nara Singha Avenue, 11A, Nager, A38 H, Sector 64 Kolkata, North Twenty Four, Noida Parganas 700 074, Distt. Gautam Buddha Nagar 201 301 West Bengal, Uttar Pradesh",West Bengal
ASSOCIATE MEMBERS,143,OAN Industries Limited 150 Pinaq Remedies (India) Private Limited,"P-134, Malhotra Nagar, VKI Metoda GIDC, G-1927/B, Opp. Gujarat Gas, Vidhyadhar Nagar Road No. 5, Metoda, Jaipur 302 013 Rajkot 360 021, Rajasthan Gujarat",Gujarat
ASSOCIATE MEMBERS,144,Oasis Chemical Industries 151 Prabhat Fertilizer & Chemicals Works,"W-57, Phase - 2, MIDC, Sonarpada, Vill - Kurali, Indri Road, Dombivli East, Tal. Kalyan, Karnal 132 001, Dist. Thane 421 203 Haryana, Maharashtra",Haryana
ASSOCIATE MEMBERS,145,Ostwal Phoschem (India) Limited 152 Prathista Industries Limited,"5-O-1, R.C. Vyas Colony 1-5-1015, Plot # 80 & 81, Manjeera Colony, Bhilwara 311 001 Father Balaiah Nagar, Old Alwal, Rajasthan Secunderabad 500 010, Telangana",Rajasthan
ASSOCIATE MEMBERS,146,Patel Phoschem Limited 153 Prism Crop Science Private Limited,"413-414-415, 4th Floor, A-Block Plot No. 27 & 298, 4th Floor, Urban Square Mall, Sukher Reliance Fresh Building, Prashanth Nagar, Udaipur 313 001 Vanasthalipuram, Rajasthan Hyderabad 500 070, Telangana",Rajasthan
ASSOCIATE MEMBERS,147,Pavaman Aviation Private Limited 154 Privi Life Sciences Private Limited,"15th Floor, Survey No.115/1, Kapil Towers Privi House, A-71, TTC Industrial Area, Nanakramguda, Rangareddy, Telangana Thane Belapur Road, Kapor Khairane, Hyderabad 500 032 Navi Mumbai 400 709, Telangana Maharashtra",Telangana
ASSOCIATE MEMBERS,155,Progressive Fertichem (Private) Limited 162 Ram Potash Private Limited,"Nizarapar, Jagi Road, Khasra No. 613/M, Jansath Road, District Morigaon 782 410 Sher Nagar, Assam Muzaffarnagar 251 001, Uttar Pradesh",Assam
ASSOCIATE MEMBERS,156,Projects & Development India Limited 163 Ramcides CropScience Private Limited,"P.O. Box No.125 Ramcides House, A-14, Sector-1 No.59C, 8th Street North Phase, Noida 201 301 SIDCO Industrial Estate, Ambattur, Uttar Pradesh Chennai 600 098, Tamil Nadu",Uttar Pradesh
ASSOCIATE MEMBERS,157,Pushpa J. Shah 164 Ray Nano Science & Research Centre LLP,"Plot No. 906/13, Near Ganesh Anand Chokdi, SN No.706, Behind Phoneix Food, G.I.D.C. Panoli, Tal. Ankleshwar, Bedwa Mogar Road, Near Bullet Train, Mogar, Dist. Bharuch 394 116 Anand 388 306, Gujarat Gujarat",Gujarat
ASSOCIATE MEMBERS,158,R.M. Phosphates & Chemicals Private Limited 165 RD Agro Inputs,"Plot No. T-3/1, Babhale Village, Phase II, 16 D, Agraharam Street, Uthangarai-TK, Nasrdana MIDC Industrial Area, Tal. Shindkheda, Krishnagiri (Distt.) 635 207, District Dhule 424 309 Tamil Nadu, Maharashtra",Tamil Nadu
ASSOCIATE MEMBERS,159,Rajasthan State Mines & Minerals Limited 166 ReAgro International,"4, Meera Marg 404, Star Tower, Udaipur 313 001 Sector 30, Silokhera NH8, Rajasthan Gurgaon 122 001, Haryana",Rajasthan
ASSOCIATE MEMBERS,160,Rajureshwar Industries Private Limited 167 Reliance Industries Limited,"Showroom No. 1, Block No. III Industrial Marketing, Building 5-C, 2nd Floor, Arjun Khotkar Business Center, Old Mondha Reliance Corporate Park, Thane-Belapur Road, Jalna 431 203 Navi Mumbai 400 709, Maharashtra Maharashtra",Maharashtra
ASSOCIATE MEMBERS,161,Rallis India Limited 168 Richfield Fertilisers Private Limited,"II Floor, III Block, KSCMF Ltd., Building, B-27, MIDC Ambad, # 8th Cunningham Road, Nashik 422 010, Bangalore 560 052 Maharashtra, Karnataka",Maharashtra
ASSOCIATE MEMBERS,169,Rio Tinto India Private Limited 176 Sadhana Phosphates & Chemcials Limited,"21st Floor, Tower A, Building No.5, 1018, Debari Railway Station Road, Cyber Terrace, DLF Cyber City, DLF Phase III Opp. HZL Smelter Village Gudli, Gurgaon 122 002 Distt. Udaipur 313 024, Haryana Rajasthan",Haryana
ASSOCIATE MEMBERS,170,Rishi Shipping 177 Sahasra Crop Science Private Limited,"Rishi House, Plot No. 113-116, H.No. 5-4-36/1, M.P. Residency, 4th Floor, Ward - 6, Industrial Area, Gandhidham Kamala Nagar, Opp. Sampurna Theatre, Kutch 370 201 Hyderabad 500 082, Gujarat Telangana",Gujarat
ASSOCIATE MEMBERS,171,S. International 178 Sai Fertilizers Private Limited,"B-79, Defence Colony 21, Princep Street, New Delhi 110 024 Kolkata 700 071, West Bengal",West Bengal
ASSOCIATE MEMBERS,172,S.A. International 179 Saigal Seatrade Private Limited,"B-79, Defence Colony J.V. House, 2nd Floor, New Delhi 110 024 D.S. Babrekar Marg, Dadar (West), Mumbai 400 028, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,173,S.L.Dev & Co. 180 Saipem India Projects Private Limited,"75, Link Road Millenia Business Park, Phase II, Campus 3A, Suite No.102, Lajpat Nagar III 143, Dr. M.G.R. Road, Kandhanchavadi, Perungudi, New Delhi - 110 024 Chennai 600 096, Tamil Nadu",Tamil Nadu
ASSOCIATE MEMBERS,174,Saalasar Phos Chem Private Limited 181 Sakthi Fertilizers Corporation LLP,"Khasara No. 378, 379, 381 10/10C, Railway Colony, Village - Deoriya, P.O. Guradia Joga Kavundampalayam, Teh. Panchpahar Coimbatore 641 030, Distt. Jhalawar 326 512 Tamil Nadu, Rajasthan",Tamil Nadu
ASSOCIATE MEMBERS,175,Sabic India Private Limited 182 Sarat Chatterjee & Co. (Visakhapatnam) Private,"10th Floor, Ambience Corporate Towers II, 28-2-47, 1 St Floor, Ambience Island, Daspalla Centre Suryabagh, Gurgaon 122 001 Visakhapatnam 530 020, Haryana Andhra Pradesh",Haryana
ASSOCIATE MEMBERS,183,Sardar Agro Fertilizers & Chemicals Private Limited 190 Shanmukha Agritec Limited,"901-902, 9th Floor, Everest Building 7-1-621/98 & 621/34, Opp. Axis Bank, Opp. Shastri Maidan S.R. Nagar Main Road, Rajkot 360 004 Hyderabad 500 038, Gujarat Telangana",Gujarat
ASSOCIATE MEMBERS,184,Savio Bio Organic and Fertilizers Private Limited 191 Sheetal Agro Agencies,"Office No. 5, IInd Floor Balaji Mandir Complex, Amar Empire, Near Goaves Circle Old Mondha Road, Mondha, Belagavi 590 001 Beed 431 122, Karnataka Maharashtra",Karnataka
ASSOCIATE MEMBERS,185,Saybolt Inspection Services India Private Limited 192 Shiv Sulphuric Solutions (OPC) Private Limited,"B-707, Pranik Chembers Bldg.-A, Office - 202, Ashoka Heights, Naikwadi, 7th Floor, Saki Vihar Road, Saki Naka Nr. Thane Station (West), Opp. Gaondevi Maidan, Mumbai 400 072 Thane 400 602, Maharashtra Maharashtra",Maharashtra
ASSOCIATE MEMBERS,186,Scientific Agriculture Laboratory Private Limited 193 Shiva Global Agro Industries Limited,"3/196, Natham Main Road, Near State Bank of India, Manthikulam Villakku, Karuvanur Post, New Mondha, Madurai 625 014 Nanded 431 602, Tamil Nadu Maharashtra",Tamil Nadu
ASSOCIATE MEMBERS,187,Seatrans Marine Private Limited 194 Shree Krushi Vikas Kendra,"ABIR KUNJ, 2nd Floor 84/7 Plot No. 2, Mahesh Nagar, 158, Rajdanga Naba Pally, (Besides HDFC Bank) Shirpur Warwade, Shirpur, Kolkata 700 107 Distt. Dhule 425 450, West Bengal Maharashtra",West Bengal
ASSOCIATE MEMBERS,188,Shail Info 195 Shree Pushkar Chemicals and Fertilisers Limited,"B-053, Oakwood Estate 3, 301/302, Atlanta Centre, DLF City, Phase-II, Opp. Udyog Bhawan, Goregaon East, Gurgaon 122 002 Mumbai 400 063, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,189,Shamrock Overseas Limited 196 Shri Laxminarayan Chemicals and Fertilizer Private,"Surya Tower, Ravi Nagar Limited, Shukla Colony Plot No. 29, KAIDB Industrial Area, Raipur 492 001 Rayapur, Chhattisgarh Dharwad 580 009, Karnataka",Chhattisgarh
ASSOCIATE MEMBERS,197,Silverline Fertilisers Private Limited 204 SSP Private Limited,"2nd Floor, Door No: 19, 13th Milestone, Mathura Road, Old Door No:67, Dr Ranga Road, Mylapore, Faridabad 121 003, Chennai 600 004 Haryana, Tamil Nadu",Haryana
ASSOCIATE MEMBERS,198,Singham Bio Crop Care Private Limited 205 Subhodaya Chemicals Private Limited,"205-206, Pavanveer Plaza 28-2-47, Daspalla Complex, Opp. IOCL Petrol Pump, Sama-Savli Road, Suryabagh, Vadodara 390 020 Visakhapatnam 530 001, Gujarat Andhra Pradesh",Gujarat
ASSOCIATE MEMBERS,199,SML Limited 206 Sud-Chemie India Private Limited,"604/605, 349-Business Point, 6th Floor, 401/402 - Office Block, DLF Place, Western Express Highway, Andheri (E) Plot : A-4, District Centre, Saket, Mumbai 400 069 New Delhi - 110 017, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,200,Solvay Specialities India Private Limited 207 Suma Agro India Private Limited,"Equinox Business Park, Tower No.-4, G2 - Mythili Apartments, 9th Floor, Unit No. 903, 21 Mylai Ranganathan St., Thyagaraya Nagar, L.B.S. Marg, Kurla (W), Chennai 600 017, Mumbai 400 070 Tamil Nadu, Maharashtra",Tamil Nadu
ASSOCIATE MEMBERS,201,Sri Balaji Fertilizers and Pesticides 208 Sun International Private Limited,"Plot No. 4, Block No. 38, Road 8A 7th Floor, Le Meridien Commercial Tower, Autonagar Raisina Road, Hyderabad 500 070 New Delhi - 110 001, Telangana",Telangana
ASSOCIATE MEMBERS,202,Sri Bioaesthetics Private Limited 209 Sunflower Organic Private Limited,"Plot No. G49, General Industrial Park No. 409/8, Thattu Mettu Street, Sultanpur, Ameenpur, Manoal Sivakasi, Sangareddy District 502 319 Distt. Viridhunagar 626 189, Telangana Tamil Nadu",Telangana
ASSOCIATE MEMBERS,203,Sri Venkateswara Fertililsers 210 T.J.Agro Fertilizers Private Limited,"15/483, G.H. Road, Adoni A-2/3, J.K. Tower, Kurnool Distt. 518 301 Near Grid, Kabilpore, Andhra Pradesh Navsari 396 424, Gujarat",Andhra Pradesh
ASSOCIATE MEMBERS,211,Talcher Fertilizers Limited 218 The Gujarat State Cooperative Marketing Federation,"Plot 2/H, Kalpana Area Limited, BJB Nagar, Khordha N.P. Patel Sahkar Bhavan, Bhubneswar 751 014 49, Shrimali SO. Opposite Navrangpura Police Station, Odisha Ahmedabad 380 009, Gujarat",Odisha
ASSOCIATE MEMBERS,212,Tamilnadu Cooperative Marketing Federation 219 The Haryana State Cooperative Supply and,"91, St. Mary's Road, Marketing Federation Limited, Chennai 600 018 Hafed Complex, Tamil Nadu Sector - 5, Panchkula 134 114, Haryana",Tamil Nadu
ASSOCIATE MEMBERS,213,Technip Energies India Limited 220 The Madhya Pradesh State Cooperative Marketing,"A-4, Technip Tower Federation Limited, Sector - 1, Noida P.O. Jehangirabad, Distt. Gautam Budh Nagar 201 301 Bhopal 462 008, Uttar Pradesh Madhya Pradesh",Uttar Pradesh
ASSOCIATE MEMBERS,214,Tecnimont Private Limited 221 The Maharashtra Agro-Industries Development,"Building No.-2, Plot No.504 Corporation Limited, Chincholi Bunder, Link Rd., Malad (W) Krushi Udyog Bhavan, Mumbai 400 064 Dinkarrao Desai Marg, Aarey Colony, Maharashtra Goregaon (East), Mumbai 400 063, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,215,Teesta Agro Industries Limited 222 The Maharashtra State Cooperative Marketing,"P.O. Rajganj Federation Limited, Distt. Jalpaiguri Kanmoor House, Jalpaiguri 735 134 P.B. No. 5080, Narsi Natha Street, West Bengal Mumbai 400 009, Maharashtra",West Bengal
ASSOCIATE MEMBERS,216,Tessenderlo Kerley India Private Limited 223 The Vidarbha Cooperative Marketing Society,"Regus, 9th Floor, Spaze I Tech Park, Industrial Area, Tower A1, Sohna Road, Sector 49, Model Mill Road, Ganeshpeth, Gurgaon 122 018 Nagpur 440 018, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,217,The Andhra Pradesh State Co-operative Marketing 224 The West Bengal State Cooperative Marketing,"Federation Limited Federation Limited, Door No: 56-2-11, 3rd Phase, APIIC Colony Road Southend Conclave, 3rd Floor, (KMDA Building), Jawahar Auto Nagar, Vijayawada Opposite Siemens, 1582, Rajdanga Main Road, Krishna (Dist.) 520 007 Kolkata 700 017, Andhra Pradesh West Bengal",Andhra Pradesh
ASSOCIATE MEMBERS,225,The World Bank (IBRD) 232 Tradex India Corporation Private Limited,"70 Lodhi Estate C-15, Qutab Institutional Area, New Delhi - 110 001 New Delhi - 110 016",
ASSOCIATE MEMBERS,226,ThyssenKrupp Industrial Solutions (India) Private 233 Trans Farm (Private) Limited,"Limited House No:1-1-167/1&2&3, Uhde House, Lal Bahadur Shastri Marg Ground Floor, Abdullah Mansion, RP Road, Vikhroli (W) Secunderabad 500 003, Mumbai 400 083 Telangana, Maharashtra",Telangana
ASSOCIATE MEMBERS,227,Timac Agro India Private Limited 234 Transworld Furtichem Private Limited,"Ground Floor, 32, Palani Centre Survey 39 / 1 & 39/2 MIDC, Venkata Narayana Road, T Nagar Dhatav, Roha, Chennai 600 017 Distt. Raigad 402 109, Tamil Nadu Maharashtra",Tamil Nadu
ASSOCIATE MEMBERS,228,Topsoe India Private Limited 235 Tubacex Service Solutions India Private Limited,"Vatika Mindscapes, Tower A, 3rd Floor, 402 A, Platina, G-Block, 12/3, Mathura Road (NH-2), Sector - 27, Bandra Kurla Complex, Bandra (East), Faridabad 121 003 Mumbai 400 051, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,229,Torrent Power Limited 236 TUV Rheinland India Private Limited,"Sugen Mega Power Project Plot No. 417, Udyog Vihar, Phase -IV, Off. National Highway No. 48, Taluka - Kamrej Gurgaon 122 015, Distt. Surat 394 155 Haryana, Gujarat",Haryana
ASSOCIATE MEMBERS,230,Toyo Engineering India Private Limited 237 Ulink Agrotech Private Limited,"214, Splendor Forum, Jasola District Centre Off. No. 106 (B&C), 6th Flr., E-Spacer IT Park, Near Apollo Hospital A1 Building, 46/1 Nagar Road, Next to Horbit Mall, New Delhi - 110 044 Pune 411 014, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,231,Tradelink International Private Limited 238 Uni Abex Alloy Products Limited,"B2 306, Boomerang Buildings, Chandivali Road Plot No. 583, Belur Industrial Area, Oberoi Garden, Sakinaka, Mumbai Suburban Dharwad 580 011, Mumbai 400 072 Karnataka, Maharashtra",Karnataka
ASSOCIATE MEMBERS,239,Unique Organic Inputs 246 Vitech Heavy Equipments Private Limited,"S.No. B/26, Palika Bazar Shopping Center Survey No. 1422 B & 1408, Opp. Jalaram Tempal, Bardoli Village Shirol, Tal - Shahapur, Surat 394 601 Distt. Thane 421 601, Gujarat Maharashtra",Gujarat
ASSOCIATE MEMBERS,240,Universal Industries,"B-8, Industrial Estate, Bazpur Road, Kashipur 244 713, Uttrakhand",
ASSOCIATE MEMBERS,241,Universal Speciality Chemicals Private Limited,"'Universal House', A/28 Kamgar Nagar Co.Op.Hsg., S. G Barve, Near Nandikeshwar Mandir, Kurla East, Mumbai 400 024, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,242,Uralkali Trading DMCC,"303, Eros Corporate Tower, Nehru Place, New Delhi - 110 019",
ASSOCIATE MEMBERS,243,Vanita Agrochem (India) Private Limited,"Gat No. 1036 and 1037, Takawade - Sangli Naka Road, A/P - Takawade, Tal :, Shirol, Dist. Kolhapur 416 121, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,244,Vasu Chemicals LLP,"Opposite Blossom Soc., Military Road, Marol, Andheri (E), Mumbai 400 059, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,245,Vigour Agritech Solutions Private Limited,"Office No. 1 & 2, 1173 Aashirvad Apartment, Sadashivpeth Limayewadi, Tilak Road, Pune 411 030, Maharashtra",Maharashtra
OVERSEAS ASSOCIATE MEMBERS,1,Agrifields DMCC 8 Indo Jordan Chemicals Co. Limited,"705, JBC5, Jumeirah Lake Towers, P.O. Box 17028, PO Box 111225, Amman 11195, Al Rabia, Dubai Al Rabia, Hashemite, UAE Kingdom of Jordan",
OVERSEAS ASSOCIATE MEMBERS,2,Argus Media Singapore Group Pte Limited 9 Jordan Phosphate Mines Co. S.A.,"50 Raffles Place, #10-01 P.O. Box No.30, Singapore Land Tower, Amman, Singapore 048623 Jordan",
OVERSEAS ASSOCIATE MEMBERS,3,Canpotex International Pte. Limited 10 JSC NIIK,"38, Beach Road, Phalaborwa, Russia, Nizhny Novgorod Region, 1390, Transval, # 17-13, South Beach Tower, Griboedov Street, 31, Singapore 189767 Dzerzhinsk 606008, Russia",
OVERSEAS ASSOCIATE MEMBERS,4,CRU Analysis and consulting (India) Private Limited 11 JSC Uralchem,"B/407, Fourth Floor, Citi Point, J.B.Nagar, 6, Presnenskaya Naberezhnaya, 12312, Next to Kohinoor Hotel, Andheri Kurla Road, Andheri Moscow, Mumbai 400 059 Russia, Maharashtra",Maharashtra
OVERSEAS ASSOCIATE MEMBERS,5,Hexagon Fertilizers Asia Pte Ltd. 12 Kisan International Trading FZE,"#10-10, 6 Shenton Way, Emaar Business Park # 2, DBS Building Tower Two, Office EMO 562, Jebel Ali, P.O. Box 261835, Singapore 068809 Dubai",
UAE,6,ICIS 13 Koch Fertilizer LLC,"Quadrant House 4111 E, 37 Street North Wichita, The Quadrant, Sutton Kansas 67220, Surrey, 5M2 5A5 USA, United Kingdom",
UAE,7,ICL Fertilizers 14 OCP Nutricrops SA,"Potash House P.O.B. 75 Complexe Jorf Lasfar – My Abdellah BD 118, Beer-Sheva, 84100 El Jadida, Israel Morocco",
UAE,15,Oman India Fertiliser Company S.A.O.C.,"P.O. Box No. 67, PC-411, Sur, Sultanate of Oman",
UAE,16,Pinnacle Green Enterprises DMCC,"HDS Business Centre, JLT Clusterm, Unit 2405, Dubai, United Arab Emirates",
UAE,17,S&P Global Limited,"Ropemaker Place, Ropemaker Street, London ECZY 9LY, United Kingdom",
UAE,18,"Saudi Arabian Mining Company ""Ma'aden""","P.O. Box 68861, Riyadh 11537, Kingdom of Saudi Arabia",
UAE,19,Stamicarbon B.V.,"Mercator 3, 6135 KW Sittard., P.O. Box 53, 6160, AB Geleen, The Netherlands",
UAE,20,The Arab Potash Company Limited,"P.O. Box 1470, Amman 11118, Jordan",
UAE,21,Torbert DMCC,"Unit No. 310-41, Jumeirah Bay 2, Plot No. JLT - PH2 - X2A, Lumeirah Lakes Towers, Dubai, U.A.E.",
